Replicate_ID,Time_Interval,Growth_Rate
C2,6-7 hrs,0.047598078675295974
C3,6-7 hrs,0.062262330272600336
D1,6-7 hrs,0.05515526490105527
D2,6-7 hrs,0.042115772983600974
D3,6-7 hrs,0.05194286749153326
E1,6-7 hrs,0.061603564314635706
E2,6-7 hrs,0.05988284667178906
E3,6-7 hrs,0.057118992951301295
A1,7-8 hrs,0.037064132895067464
A2,7-8 hrs,0.049581835448150396
A3,7-8 hrs,0.03605868458714534
B1,7-8 hrs,0.035956092002344786
B2,7-8 hrs,0.03207145315777499
B3,7-8 hrs,0.030015014502887988
C1,7-8 hrs,0.07313946127608559
C2,7-8 hrs,0.06479468174846309
C3,7-8 hrs,0.05966195558842699
D1,7-8 hrs,0.03445550936550168
D2,7-8 hrs,0.036180060969568995
D3,7-8 hrs,0.03048932214790029
E1,7-8 hrs,0.05671156771607
E2,7-8 hrs,0.06349247278227704
E3,7-8 hrs,0.059899260020901374
A1,8-9 hrs,0.007190470243564007
A2,8-9 hrs,-0.005631125658165148
A3,8-9 hrs,0.006309473907007257
B1,8-9 hrs,0.030860063101218416
B2,8-9 hrs,0.026415529188572262
B3,8-9 hrs,0.01706122426985826
C1,8-9 hrs,0.05064882570078194
C2,8-9 hrs,0.04717907769546925
C3,8-9 hrs,0.050720173499874135
D1,8-9 hrs,0.002934433339049358
D2,8-9 hrs,0.008049496313172894
D3,8-9 hrs,0.006574810747167176
E1,8-9 hrs,0.06704541447080159
E2,8-9 hrs,0.05774015772612531
E3,8-9 hrs,0.05907300608347857
A1,9-10 hrs,0.011957040577554312
A2,9-10 hrs,0.01939755500040241
A3,9-10 hrs,0.01370127767738813
B1,9-10 hrs,0.03536470727430974
B2,9-10 hrs,0.03715316285081616
B3,9-10 hrs,0.04499000071502876
C1,9-10 hrs,0.05662181796146824
C2,9-10 hrs,0.07205910571310722
C3,9-10 hrs,0.051600876056013226
D1,9-10 hrs,0.014381926159974134
D2,9-10 hrs,0.012858341643930321
D3,9-10 hrs,0.015664777787268824
E1,9-10 hrs,0.05806590091262974
E2,9-10 hrs,0.06026325184912694
E3,9-10 hrs,0.06819083081900426
A1,10-11 hrs,0.020329506165230632
A2,10-11 hrs,0.035751210091744645
A3,10-11 hrs,0.024898507296666844
B1,10-11 hrs,0.05042930082828542
B2,10-11 hrs,0.05150563611989846
B3,10-11 hrs,0.04926291330869424
C1,10-11 hrs,0.049181908206570646
C2,10-11 hrs,0.03449718869853147
C3,10-11 hrs,0.0632731551232347
D1,10-11 hrs,0.033999708226849834
D2,10-11 hrs,0.03837473250207818
D3,10-11 hrs,0.03168486229896553
E1,10-11 hrs,0.053504251598592394
E2,10-11 hrs,0.04560400249337569
E3,10-11 hrs,0.04211485449013147
A1,11-12 hrs,0.041633358193978814
A2,11-12 hrs,0.036486639889510675
A3,11-12 hrs,0.052706350516002934
B1,11-12 hrs,0.05549159111795603
B2,11-12 hrs,0.046547424875722165
B3,11-12 hrs,0.04322515404528002
C1,11-12 hrs,0.05544508991188984
C2,11-12 hrs,0.060144447837973083
C3,11-12 hrs,0.03852577797680274
D1,11-12 hrs,0.043527980548053014
D2,11-12 hrs,0.03347148277771733
D3,11-12 hrs,0.047379810272747125
E1,11-12 hrs,0.03893114108514641
E2,11-12 hrs,0.058509751945582306
E3,11-12 hrs,0.053401592631240447
